FishID,DateRespo,ExperimentID,Tank,RespoID,Resp.Vol.L,sex,Mass.g,TL.cm,FL.cm,SL.cm,Depth.cm,Curcumference.cm,filename,Ch,BW,t_min,t_max,t_mean,N_mo2,rmr,mmrChase,mmr,AS,mmr_length_cycle,treatm,origin,pregnant,sizeClass,FAS
r2-1-GRD,8-Sep,summer-fall,1,G4,0.272,F,8.8,8.9,8.4,7,2.9,NA,sep08_2021_box3_SMR1_mgO2L_analyzed_SMR,Ch4,0.0088,21.96,22.89,22.49037037,81,0.062436431,0.082320165,0.085160916,0.022724485,180,22,field,nP,YOY,1.363961956
r2-1-OLD,19-Aug,summer-fall,1,G3,0.272,NA,5.19,7.5,7.1,6,2.4,NA,aug19_2021_box3_SMR1_mgO2L_analyzed_SMR,Ch3,0.00519,14.86,16.94,15.83179487,78,0.023647617,0.035647837,0.040785872,0.017138255,180,16,field,nP,YOY,1.724734975
r2-1-OLD,25-Aug,summer-fall,1,G3,0.272,NA,5.05,7.6,7.1,6,2.2,NA,aug25_2021_box3_SMR1_mgO2L_analyzed_SMR,Ch3,0.00505,19.76,20.38,19.99987654,81,0.04010875,0.056735361,0.060963882,0.020855132,180,20,field,nP,YOY,1.519964639
r2-1-OLD,30-Aug,summer-fall,1,G1,0.272,NA,5.22,7.5,7.2,5.9,2.3,NA,aug30_2021_box3_smr1_mgO2L_analyzed_SMR,Ch1,0.00522,12.04,12.65,12.16037975,79,0.015665257,0.039001046,0.04001579,0.024350533,180,12,field,nP,YOY,2.554429209
r2-1-OLD,8-Sep,summer-fall,1,G1,0.272,NA,5.67,7.7,7.3,6.1,2.3,NA,sep08_2021_box3_SMR1_mgO2L_analyzed_SMR,Ch1,0.00567,21.96,22.89,22.49037037,81,0.049525339,0.071690208,0.071690208,0.022164869,180,22,field,nP,YOY,1.447546044
r2-1-OLTT,19-Aug,summer-fall,1,1,0.568,M,15.18,10.4,9.6,8.2,3.5,NA,aug19_2021_box1_SMR1_mgO2L_analyzed_SMR,Ch1,0.01518,15.74,16.48,16.17182927,82,0.063823936,0.093545581,0.100560844,0.036736908,180,16,field,nP,YOY,1.575597664
r2-1-OLTT,25-Aug,summer-fall,1,4,0.568,M,15.05,10.5,9.7,8.2,3.6,NA,aug25_2021_box2_SMR1_mgO2L_analyzed_SMR,Ch2,0.01505,19.79,20.69,20.49120482,83,0.094247835,0.08898666,0.142496282,0.048248448,1,20,field,nP,YOY,1.511931629
r2-1-OLTT,30-Aug,summer-fall,1,2,0.568,M,15.08,10.2,9.8,8.3,3.6,NA,aug30_2021_box1_smr1_mgO2L_analyzed_SMR,Ch2,0.01508,12.22,12.52,12.38341463,82,0.054003638,0.07159482,0.096178314,0.042174677,180,12,field,nP,YOY,1.780959918
r2-1-OLTT,8-Sep,summer-fall,1,5,0.568,M,16.42,10.6,10.1,8.5,3.5,NA,sep08_2021_box2_smr1_mgO2L_analyzed_SMR,Ch3,0.01642,21.48,23.64,22.08253012,83,0.08669539,0.1252757,0.159926376,0.073230986,1,22,field,nP,YOY,1.844692973
r2-1-ORTT,19-Aug,summer-fall,1,4,0.568,M,12.23,9.6,9.2,7.8,3.2,NA,aug19_2021_box2_SMR1_mgO2L_analyzed_SMR,Ch2,0.01223,15.85,16.51,16.27407407,81,0.06273952,0.083908337,0.095708502,0.032968982,1,16,field,nP,YOY,1.525489861
r2-1-ORTT,25-Aug,summer-fall,1,2,0.568,M,11.98,9.7,9.3,8,3.1,NA,aug25_2021_box1_SMR1_mgO2L_analyzed_SMR,Ch2,0.01198,19.52,20.56,20.21797619,84,0.087382096,0.08217977,0.126473734,0.039091639,180,20,field,nP,YOY,1.447364397
r2-1-ORTT,30-Aug,summer-fall,1,3,0.568,M,12.68,9.7,9.3,7.8,3.1,NA,aug30_2021_box2_smr1_mgO2L_analyzed_SMR,Ch1,0.01268,12.09,12.38,12.20829268,82,0.034719695,0.079520019,0.079520019,0.044800324,180,12,field,nP,YOY,2.290343251
r2-1-ORTT,8-Sep,summer-fall,1,3,0.568,M,13.06,10,9.5,8.2,3.2,NA,sep08_2021_box2_smr1_mgO2L_analyzed_SMR,Ch1,0.01306,21.48,23.64,22.07865854,82,0.073393368,0.123875226,0.135534103,0.062140735,180,22,field,nP,YOY,1.846680529
r2-1-RLD,19-Aug,summer-fall,1,G1,0.272,M,7.33,8.2,7.7,6.4,2.5,NA,aug19_2021_box3_SMR1_mgO2L_analyzed_SMR,Ch1,0.00733,14.86,16.94,15.83179487,78,0.035887451,0.044506798,0.059895143,0.024007692,180,16,field,nP,YOY,1.66897178
r2-1-RLD,25-Aug,summer-fall,1,G4,0.272,M,7.13,8.4,7.9,6.6,2.5,NA,aug25_2021_box3_SMR1_mgO2L_analyzed_SMR,Ch4,0.00713,19.76,20.38,19.99987654,81,0.047472303,0.058891953,0.07144977,0.023977466,180,20,field,nP,YOY,1.505083273
r2-1-RLD,30-Aug,summer-fall,1,G4,0.272,M,7.45,8.5,8.2,6.7,2.8,NA,aug30_2021_box3_smr1_mgO2L_analyzed_SMR,Ch4,0.00745,12.04,12.65,12.16037975,79,0.025695078,0.043908364,0.046187703,0.020492626,180,12,field,nP,YOY,1.797531176
r2-1-RLD,8-Sep,summer-fall,1,G3,0.272,M,7.78,8.5,8,6.8,2.6,NA,sep08_2021_box3_SMR1_mgO2L_analyzed_SMR,Ch3,0.00778,21.96,22.89,22.49037037,81,0.056163652,0.075270388,0.075965586,0.019801934,180,22,field,nP,YOY,1.352575613
r2-1-RRD,19-Aug,summer-fall,1,2,0.568,F,19.47,10.4,9.9,8.4,3.5,NA,aug19_2021_box1_SMR1_mgO2L_analyzed_SMR,Ch2,0.01947,15.74,16.48,16.17222222,81,0.07870696,NA,0.119442973,0.040736013,NA,16,field,nP,YOY,1.517565575
r2-1-RRD,25-Aug,summer-fall,1,6,0.568,F,15.79,10.6,9.9,8.5,3.4,NA,aug25_2021_box2_SMR1_mgO2L_analyzed_SMR,Ch4,0.01579,19.79,20.69,20.49120482,83,0.098099308,0.07802894,0.11874203,0.020642723,1,20,field,nP,YOY,1.210426794
r2-1-RRD,30-Aug,summer-fall,1,4,0.568,F,16.22,10.5,10,8.4,3.5,NA,aug30_2021_box2_smr1_mgO2L_analyzed_SMR,Ch2,0.01622,12.09,12.38,12.20829268,82,0.049441298,0.097811804,0.097811804,0.048370505,180,12,field,nP,YOY,1.978342134
r2-1-RRD,8-Sep,summer-fall,1,1,0.568,F,17.01,10.7,10,8.6,3.5,NA,sep08_2021_box1_smr1_mgO2L_analyzed_SMR,Ch1,0.01701,21.5,22.13,21.77831325,83,0.104750767,0.169840239,0.17305146,0.068300693,180,22,field,nP,YOY,1.652030478
r2-1-RRTT,19-Aug,summer-fall,1,3,0.568,F,13.12,9.8,9.6,7.9,3.3,NA,aug19_2021_box2_SMR1_mgO2L_analyzed_SMR,Ch1,0.01312,15.85,16.51,16.27407407,81,0.072853681,0.083197042,0.109051404,0.036197723,1,16,field,nP,YOY,1.496855106
r2-1-RRTT,25-Aug,summer-fall,1,5,0.568,F,13.5,10,9.5,8.1,3.3,NA,aug25_2021_box2_SMR1_mgO2L_analyzed_SMR,Ch3,0.0135,19.79,20.69,20.49120482,83,0.074882672,0.104663141,0.127700075,0.052817403,180,20,field,nP,YOY,1.705335448
r2-1-RRTT,30-Aug,summer-fall,1,1,0.568,F,13.72,10,9.5,8,3.3,NA,aug30_2021_box1_smr1_mgO2L_analyzed_SMR,Ch1,0.01372,12.22,12.52,12.38445783,83,0.04067661,0.062763764,0.079964518,0.039287908,180,12,field,nP,YOY,1.96585995
r2-1-RRTT,8-Sep,summer-fall,1,4,0.568,F,13.79,10.2,9.7,8.4,3.3,NA,sep08_2021_box2_smr1_mgO2L_analyzed_SMR,Ch2,0.01379,21.48,23.64,22.17688889,45,0.083002507,0.138411576,0.142037463,0.059034956,180,22,field,nP,YOY,1.711243039
r2-2-BLD-BLD,21-Aug,summer-fall,2,10,2.208,F,66,16.1,15.9,13.5,5.7,12.5,aug21_2021_box1_smr1_mgO2L_analyzed_SMR,Ch2,0.066,16.07,16.38,16.15925,80,0.217380023,0.479941763,0.479941763,0.262561739,180,16,field,nP,> YOY,2.207846678
r2-2-BLD-BLD,27-Aug,summer-fall,2,9,2.208,F,67.5,16.2,15.4,13.3,5.8,12.7,aug27_2021_box1_SMR1_mgO2L_analyzed_SMR,Ch1,0.0675,19.8,20.52,20.13643678,87,0.281423058,0.485961701,0.666471079,0.385048021,180,20,field,nP,> YOY,2.368217745
r2-2-BLD-BLD,2-Sep,summer-fall,2,12,2.208,F,67.5,16.4,15.8,13.4,5.9,12.8,sep02_2021_box2_smr2_mgO2L_analyzed_SMR,Ch2,0.0675,12.05,12.36,12.310625,64,0.153312441,0.294489133,0.319372463,0.166060022,180,12,field,nP,> YOY,2.08314773
r2-2-BLD-BLD,10-Sep,summer-fall,2,10,2.208,F,68.5,16.4,15.8,13.5,5.6,12.7,sep10_2021_box1_smr1_mgO2L_analyzed_GLUED_n2_SMR,Ch1,0.0685,21.84,22.39,22.12768293,82,0.526308067,0.572717601,0.706214316,0.179906249,180,22,field,nP,> YOY,1.341826888
