FishID,bpm,bpm.SD,temp_mean,Depth.cm,SL.cm,TL.cm,FL.cm,Tank,mass.g,bpm_duration,temp.rate,heart.mass,breakpoint_Cels,breakpoint_bpm,breakpoint_CIh,breakpoint_CIl,HRpeak,Tpeak,temp_ARRH,time_ARRH,TEMP,sizeClass,treatm,BW
r2-1-OLTT,135.5261226,0.558,22.9,4.1,9.1,11.5,11,1,24,0.254,0.164046303,0.02,21.53,134.5609855,3.39679,3.39021,140.802223,25.95,26.54267228,69.18,23,Juvenile,23,0.024
r2-1-OLTT,137.5184546,0.6402,23.95,4.1,9.1,11.5,11,1,24,0.255,0.164046303,0.02,21.53,134.5609855,3.39679,3.39021,140.802223,25.95,26.54267228,69.18,24,Juvenile,24,0.024
r2-1-GLD,89.25441379,0.4928,16.05,3.6,8.3,10.6,9.8,1,15.52,0.253,0.16611621,0.014,19.6,118.3099067,3.42456,3.40724,129.3874133,21.25,24.94141949,58.93,16,Juvenile,16,0.01552
r2-1-GLD,125.2182457,2.1452,25,3.6,8.3,10.6,9.8,1,15.52,0.254,0.16611621,0.014,19.6,118.3099067,3.42456,3.40724,129.3874133,21.25,24.94141949,58.93,25,Juvenile,25,0.01552
r2-1-GLD,95.94583702,0.7656,17,3.6,8.3,10.6,9.8,1,15.52,0.259,0.16611621,0.014,19.6,118.3099067,3.42456,3.40724,129.3874133,21.25,24.94141949,58.93,17,Juvenile,17,0.01552
r2-1-GLD,104.2495956,0.3781,18,3.6,8.3,10.6,9.8,1,15.52,0.259,0.16611621,0.014,19.6,118.3099067,3.42456,3.40724,129.3874133,21.25,24.94141949,58.93,18,Juvenile,18,0.01552
r2-1-GLD,112.9621582,0.2651,19,3.6,8.3,10.6,9.8,1,15.52,0.254,0.16611621,0.014,19.6,118.3099067,3.42456,3.40724,129.3874133,21.25,24.94141949,58.93,19,Juvenile,19,0.01552
r2-1-GLD,121.6097323,0.5166,20.1,3.6,8.3,10.6,9.8,1,15.52,0.257,0.16611621,0.014,19.6,118.3099067,3.42456,3.40724,129.3874133,21.25,24.94141949,58.93,20,Juvenile,20,0.01552
r2-1-GLD,129.3874133,0.7118,21.25,3.6,8.3,10.6,9.8,1,15.52,0.254,0.16611621,0.014,19.6,118.3099067,3.42456,3.40724,129.3874133,21.25,24.94141949,58.93,21,Juvenile,21,0.01552
r2-1-GLD,128.2153773,2.6124,22.1,3.6,8.3,10.6,9.8,1,15.52,0.25,0.16611621,0.014,19.6,118.3099067,3.42456,3.40724,129.3874133,21.25,24.94141949,58.93,22,Juvenile,22,0.01552
r2-1-GLD,126.2871975,0.9148,23,3.6,8.3,10.6,9.8,1,15.52,0.17,0.16611621,0.014,19.6,118.3099067,3.42456,3.40724,129.3874133,21.25,24.94141949,58.93,23,Juvenile,23,0.01552
r2-1-GLD,126.2254639,0.9579,24,3.6,8.3,10.6,9.8,1,15.52,0.249,0.16611621,0.014,19.6,118.3099067,3.42456,3.40724,129.3874133,21.25,24.94141949,58.93,24,Juvenile,24,0.01552
r2-1-RRTT,92.13022544,0.488,16.05,3.8,8.6,10.9,10.1,1,19.43,0.253,0.16611621,0.022,19.77,120.6934174,3.42216,3.40564,127.9918745,21.25,23.73043231,51.64,16,Juvenile,16,0.01943
r2-1-RRTT,98.99920624,0.3953,17,3.8,8.6,10.9,10.1,1,19.43,0.259,0.16611621,0.022,19.77,120.6934174,3.42216,3.40564,127.9918745,21.25,23.73043231,51.64,17,Juvenile,17,0.01943
